,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,0.1098255900194096,0.8425563024194601,0.6367324551363263,0.01008810555362308,3.57780945791567e-14,0.00011383970401697772,0.25242102948289125,0.37728966305043304,0.09192287575560319,0.4232950019199918,0.0677138478662792
throat,0.5900777917442569,0.025928561559837672,0.13110377204892512,0.19734155358096175,1.5826346253429204e-21,0.08862673483305028,9.686445238913163e-05,0.009488764052710779,7.368160003014346e-06,0.11894509550825667,0.14917788013151598
position,0.1098255900194096,0.8425563024194601,0.6367324551363263,0.01008810555362308,3.57780945791567e-14,0.00011383970401697772,0.25242102948289125,0.37728966305043304,0.09192287575560319,0.4232950019199918,0.0677138478662792
open,0.415200150682919,0.4154776871270987,0.7121580218718571,0.025386907668820506,5.571803123736978e-16,0.001819905029403425,0.029047837867559784,0.11028423443410233,0.007416020878710858,0.39361732578410796,0.19217990665145201
clean,0.0003230236380994781,0.08581538681003116,0.04640709005889801,0.022273741162613526,4.756613087773971e-09,2.184021607228905e-05,0.7428317617418282,0.9316875636693713,0.951668237182314,0.9811207650563377,0.009007632372721872
resonate,8.021288447881629e-05,0.11122316099852579,0.05616779438601512,0.04087782948603328,1.8233083852803687e-09,4.057617217365468e-05,0.6261606686368298,0.9937412812695975,0.8171035485761063,0.7885258608274193,0.0029176699400836163
unify,0.3392801753317742,0.5262645678464113,0.8050591596175399,0.019280797442377116,1.973521793333918e-16,0.001393152287475208,0.05036477601384903,0.1053646768418762,0.010892278874442834,0.2215259110355402,0.0636163661875693
falsetto,0.2727745785802236,0.7437789047778209,0.9141172564963771,0.01709900129134445,1.0025563564887794e-15,0.0010034874837898005,0.07208255080639651,0.21944469083623255,0.022228962814338532,0.27129039303261815,0.10395625280934043
chest,0.1098255900194096,0.8425563024194601,0.6367324551363263,0.01008810555362308,3.57780945791567e-14,0.00011383970401697772,0.25242102948289125,0.37728966305043304,0.09192287575560319,0.4232950019199918,0.0677138478662792
nasal,0.0017764171716017673,0.2992883893186135,0.17662834926745344,0.010220256656970456,2.592106148200693e-11,1.599384569763735e-05,0.7914542625042116,0.5488471515381365,0.5600433180546094,0.7453478632908331,0.017512330716028823
