,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,-0.16337666881639917,0.0204300309688687,0.04855311301833837,-0.26008729259365104,0.6745936885581529,0.3818210144790104,-0.1173243272237107,0.09063530336465607,0.1720722130045389,-0.08222875535187817,0.1862819264466246
throat,0.05537492743156305,-0.22613950328153798,-0.15437400079054142,-0.13203238617106744,0.7856885195412757,0.17381631584221155,-0.3854054603205872,0.2621483358736473,0.4376533665799668,-0.1593668221163381,0.14756762290476513
position,-0.16337666881639917,0.0204300309688687,0.04855311301833837,-0.26008729259365104,0.6745936885581529,0.3818210144790104,-0.1173243272237107,0.09063530336465607,0.1720722130045389,-0.08222875535187817,0.1862819264466246
open,-0.08366748353242563,-0.08361788810650246,-0.037940500831242216,-0.22694866902452857,0.7073299645165706,0.3126753906227329,-0.2217411493025934,0.16316895128730313,0.2702891940774802,-0.08758552218035785,0.13355440145228561
clean,-0.3576122267051267,0.1753450255795448,0.202746500562613,-0.23190724215229858,0.5515839362747342,0.4166639186493875,0.0337420154469176,-0.008817875073167657,-0.006234982805991787,0.002434250529156218,0.26388726793618944
resonate,-0.3895409284894289,0.1627458022055136,0.19456873409013684,-0.2080342219081945,0.5637853495058682,0.4040416115972372,0.05007951087389991,-0.0008069206183105725,-0.02378715416051347,0.0275865986384927,0.29912219594957007
unify,-0.09806245607733384,-0.06512020789663174,-0.02538428447350772,-0.2372691078415854,0.7148503238937576,0.32007869220376955,-0.19927406369933198,0.16543306889801784,0.25748426366807753,-0.12525838728215408,0.18908091446296918
falsetto,-0.11245673786311652,-0.03361328712991235,0.011093657447798166,-0.241649414017462,0.7029659724505987,0.32892201467811294,-0.18344483268522843,0.12582003459755792,0.23198278091680874,-0.11280319370437983,0.16609642773369182
chest,-0.16337666881639917,0.0204300309688687,0.04855311301833837,-0.26008729259365104,0.6745936885581529,0.3818210144790104,-0.1173243272237107,0.09063530336465607,0.1720722130045389,-0.08222875535187817,0.1862819264466246
nasal,-0.31335319390682637,0.10646925873903107,0.13832721424423203,-0.2596473352537288,0.6125766491438204,0.4228261443691522,-0.027195641532790322,0.06160965890954258,0.05989535641815208,0.03340016043328778,0.2407839657163978
