,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,0.0,0.22626270744056418,0.11306897166951269,-0.0020104892939963085,0.7775982644736178,0.858785528277835,-0.20079466172182692,-0.09265983335650403,0.252925264371635,-0.3167540032485908,0.13456911639988167
throat,0.0,0.0,0.04375980005751195,-0.13262024391774038,0.778116442870217,0.39052853490178474,-0.24470149637556127,-0.04203491370716732,0.21700787119651374,-0.09897892278325929,0.1583593793927708
position,0.0,0.22626270744056418,0.11306897166951269,-0.0020104892939963085,0.7775982644736178,0.858785528277835,-0.20079466172182692,-0.09265983335650403,0.252925264371635,-0.3167540032485908,0.13456911639988167
open,0.0,0.0,0.09492993127138696,0.0,0.7794908046333803,0.7147776546281638,-0.17050170330792086,-0.06332003363280969,0.19132542393298388,-0.1386802819412574,0.10143718555458922
clean,-0.21948377501182517,0.12111974362319249,0.2302338033347187,0.0,0.5156803194708157,0.7785417562672606,-0.23527180403368178,-0.1326344048339095,0.2046357473276046,-0.28645212997994457,0.1745267071976917
resonate,-0.2437603823888359,0.02811499237356728,0.17709485791852342,0.0,0.5795681859695513,0.7017917889300762,-0.1464403543174776,-0.0837750888934136,0.11839279750970633,-0.2163801251876574,0.19927628830692948
unify,0.0,0.15359353068070183,0.161882791966742,-0.3303023074061632,0.7696439053999472,0.5498976769681024,-0.21956563445429203,-0.08514891689707815,0.28488830571183893,-0.34258638816665077,0.2729638584875654
falsetto,0.0,0.1815225896013216,0.17729701698157468,-0.19268433874440696,0.7989752166303499,0.640369142120161,-0.25700481058573715,-0.10102765212004589,0.24888597406799656,-0.2921484370779888,0.1650546001934459
chest,0.0,0.22626270744056418,0.11306897166951269,-0.0020104892939963085,0.7775982644736178,0.858785528277835,-0.20079466172182692,-0.09265983335650403,0.252925264371635,-0.3167540032485908,0.13456911639988167
nasal,-0.0599622914793353,0.04040295633818088,0.08667802884285165,0.0,0.6807079139642584,0.6903932262766854,-0.1197314376851792,0.0,0.0,-0.08983276546678573,0.15615603405118975
