,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,,,,,1.533978533339287,2.048377598674705,,,0.6361800577186394,-0.5371459104417706,0.6228736122021405
throat,,,,,1.5074738266581162,,,,0.6546505656038945,,
position,,,,,1.533978533339287,2.048377598674705,,,0.6361800577186394,-0.5371459104417706,0.6228736122021405
open,,,,,1.4602500432910912,1.5569565647786365,,,,,
clean,,,,,0.7417974882832996,1.8419963699063127,,,,-0.5538736307655182,
resonate,,,,,0.8798309291046765,1.7999099794442013,,,,-0.48205435215904974,
unify,,,,-1.1810483609896236,1.483054183569025,,,,0.6105271646728725,-0.5021106845703407,0.7207373419531033
falsetto,,,,-0.9213095125027607,1.497530978290197,0.9626688444248177,,,,-0.42361827827299875,0.5319257276688063
chest,,,,,1.533978533339287,2.048377598674705,,,0.6361800577186394,-0.5371459104417706,0.6228736122021405
nasal,,,,,1.1633460272166725,1.9863539064497215,-0.6803894349838935,,,-0.4300885340647949,
