,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,,,,,4.636586991205287,7.75530867101113,,,1.8892502508923168,0.5844138438191078,1.8642775626932795
throat,,,,,4.515309919284367,,,,1.9244699238838805,,
position,,,,,4.636586991205287,7.75530867101113,,,1.8892502508923168,0.5844138438191078,1.8642775626932795
open,,,,,4.307036339256041,4.744360097892856,,,,,
clean,,,,,2.099706322000096,6.3091210362828,,,,0.5747192428315191,
resonate,,,,,2.410492127901114,6.049102896297343,,,,0.6175134976607073,
unify,,,,0.3069567683586508,4.406383053092332,,,,1.841401864973192,0.6052518149015147,2.055948589047324
falsetto,,,,0.3979975169633312,4.47063733183231,2.61867599448069,,,,0.6546737374078541,1.7022071417790603
chest,,,,,4.636586991205287,7.75530867101113,,,1.8892502508923168,0.5844138438191078,1.8642775626932795
nasal,,,,,3.2006247566948813,7.288909209143312,0.506419736397008,,,0.6504515050583358,
