,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,,,,,4.934077140938025e-07,0.00018757578131933285,,,0.04395014242413148,0.010166475750601332,0.024247675033725526
throat,,,,,8.765610778287892e-08,,,,0.043427428487554265,,
position,,,,,4.934077140938025e-07,0.00018757578131933285,,,0.04395014242413148,0.010166475750601332,0.024247675033725526
open,,,,,2.751023826090043e-07,0.0008609225133873438,,,,,
clean,,,,,0.00023582028878869782,4.198051076125311e-05,,,,0.003091955917226597,
resonate,,,,,4.8205527103774816e-05,7.16657767358177e-05,,,,0.010102688988606149,
unify,,,,0.004221941025647081,1.9709306896582494e-07,,,,0.04709918636522243,0.01023098451433139,0.005117090816004351
falsetto,,,,0.01786235786686108,1.8833148575668477e-07,0.009602569950062614,,,,0.022815172066459704,0.028567728671843602
chest,,,,,4.934077140938025e-07,0.00018757578131933285,,,0.04395014242413148,0.010166475750601332,0.024247675033725526
nasal,,,,,4.683803717141909e-06,0.00015812923289842463,0.019573943260859795,,,0.02535427878899316,
