,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
throat,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
position,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
open,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
clean,0.0005617131150615557,0.008520444491457738,0.10702670445857597,0.23310656553645376,2.6379003407712567e-13,0.4272545878476611,1.6496177058668193e-10,0.0562910978967138,1.3589915973296244e-13,4.3462040439262404e-05,0.1451220567226598
resonate,0.0014124821849245898,0.0021777036885310516,0.05531796478666319,0.12189521187023224,2.954418196057736e-14,0.28216414172249804,1.9521865612716697e-10,0.037007995147484984,1.6922608917088567e-13,0.00010121773269141262,0.0720052986121681
unify,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
falsetto,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
chest,5.171946080174329e-05,0.0024663445461465517,0.030256396801673188,0.6088734122923258,5.873628805637423e-21,0.8222035186272298,1.6439310695395825e-10,0.01850278676151059,7.014467183992613e-16,4.6231836740524956e-05,0.19021259352116712
nasal,0.0015949290703317763,0.0027708760728222385,0.03822857674795455,0.4431271320230214,4.80959733189065e-16,0.764265869353094,5.217218640743473e-10,0.010940921971429214,2.6520253051078085e-13,0.0005225329576706773,0.13036501482899865
