,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
throat,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
position,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
open,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
clean,0.4392416900523024,-0.34237535325310214,-0.21382600930258844,0.15903223719458068,0.7861774761529421,-0.10626151424450313,-0.7216113479430682,0.2520582094905913,0.7917864137805977,-0.5098769657359669,0.1937102653894034
resonate,0.40951009614698225,-0.394560935969908,-0.2530283778119599,0.2054125342849828,0.8040710321168902,-0.14360883040476394,-0.7196359607463784,0.2745524001039511,0.7899503248458545,-0.4882008143013034,0.2380050517448625
unify,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
falsetto,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
chest,0.5055347547745599,-0.3901331477453253,-0.2847834906496327,0.06860129467631536,0.8919473755964313,-0.03015584980062578,-0.7216516783457113,0.30841210023367277,0.8308953883026495,-0.5083414680676918,0.17448033001781932
nasal,0.4053838557430191,-0.38593616043028534,-0.2728712835431505,0.10267041904757027,0.8333672746598012,-0.04023661099186293,-0.707761987346869,0.33181791864622967,0.7861316221556188,-0.4414626835990562,0.20096475226798033
