,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
throat,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
position,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
open,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
clean,0.19912465210103564,0.0,0.09818559577117564,0.02435924708804657,0.005522341018461442,0.0,-0.41886679424063883,0.0,0.5118190387083469,-0.21249388127838598,0.0
resonate,0.07801441691829356,0.0,0.0,0.1241897805121413,0.23344290059058792,0.0,-0.363017132093299,0.0,0.3481481365875838,-0.1808763567129286,0.0
unify,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
falsetto,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
chest,0.18345446019443473,0.0,0.06316016214789397,0.0,0.6659589349029464,0.0,-0.3566272000298343,0.0,0.3336551663607067,-0.27083723079356037,0.0
nasal,0.0,0.0,0.0,0.0,0.5216956679998851,0.0,-0.3776130281675696,0.0,0.1529000435201784,-0.10251170069140506,0.0
