,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
throat,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
position,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
open,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
clean,,,,,,,-1.3591585739857748,,1.2672331926643703,,
resonate,,,,,,,-1.7362687298105215,,1.036777747069603,-1.0814980588682828,
unify,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
falsetto,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
chest,,,,,3.5421306997794826,,,,1.9180898907688082,-1.4700714599916191,
nasal,,,,,1.1362472550226963,,-1.211371370442025,,,,
