,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
throat,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
position,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
open,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
clean,,,,,,,0.00852727255319489,,0.006451471331746939,,
resonate,,,,,,,0.0109852568678615,,0.04121375511101066,0.03478814795574476,
unify,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
falsetto,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
chest,,,,,0.006089056204757011,,,,0.036947785877456805,0.04050671572702043,
nasal,,,,,0.012927852098016612,,0.007859566754768786,,,,
