,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,2.887378076604161e-14,0.0077699931571299985,0.001667442646600167,0.01830581352289532,8.146333159079785e-09,3.319428596481752e-07,0.015402509406687661,0.647922463165795,0.009596049453410914,0.33790825760721116,0.0008194169765423132
throat,5.733854725758058e-10,0.3393349884702108,0.05926714242822088,0.1821290348237295,4.615092552334366e-15,0.0006432188142094288,0.5123673451841804,0.4729723673990843,0.32464482708864467,0.32832134961579734,0.00023553047245960105
position,2.887378076604161e-14,0.0077699931571299985,0.001667442646600167,0.01830581352289532,8.146333159079785e-09,3.319428596481752e-07,0.015402509406687661,0.647922463165795,0.009596049453410914,0.33790825760721116,0.0008194169765423132
open,6.547906858166328e-13,0.06037946266468526,0.010296042819721055,0.033033370231056985,3.7616165387893204e-10,4.549768392739864e-06,0.08020768500452605,0.9511384997315351,0.038614955004519044,0.21128807746954759,0.0026269297135072963
clean,2.887378076604161e-14,0.0077699931571299985,0.001667442646600167,0.01830581352289532,8.146333159079785e-09,3.319428596481752e-07,0.015402509406687661,0.647922463165795,0.009596049453410914,0.33790825760721116,0.0008194169765423132
resonate,2.887378076604161e-14,0.0077699931571299985,0.001667442646600167,0.01830581352289532,8.146333159079785e-09,3.319428596481752e-07,0.015402509406687661,0.647922463165795,0.009596049453410914,0.33790825760721116,0.0008194169765423132
unify,6.285267496516626e-13,0.046882932528539444,0.0095394581065909,0.025330469253839638,1.828875322037965e-10,5.871523816581542e-06,0.056797354110544186,0.9308006717150576,0.04095588465735566,0.5050434017371908,0.0003130936529119692
falsetto,4.3445153224830406e-13,0.020259585884702374,0.0031468108082504595,0.02413259528325799,5.774764996531915e-10,3.5238063623838644e-06,0.051515587084530794,0.8085620745074531,0.024552258662526995,0.3960382703305405,0.0009812668092496878
chest,2.887378076604161e-14,0.0077699931571299985,0.001667442646600167,0.01830581352289532,8.146333159079785e-09,3.319428596481752e-07,0.015402509406687661,0.647922463165795,0.009596049453410914,0.33790825760721116,0.0008194169765423132
nasal,2.4580246439784904e-14,0.006689847586582246,0.0010554809232430499,0.015343843604502097,5.139515198122787e-09,3.0491512031164003e-07,0.023946506683134614,0.6040919488619926,0.014260422978055754,0.25717531503070684,0.0010013641139312041
