,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,-0.8001633786811031,0.34329490072174923,0.4005779146916716,-0.30629509797885945,0.6667718014831409,0.6077209846998534,0.31411064725900045,-0.06069456325887282,-0.3345763500823806,0.12697166171784638,0.4239590646023003
throat,-0.7022164134815955,0.12660020309895725,0.24702792295896073,-0.1761086624113986,0.8139319304366174,0.43155945312351496,0.08699343564900414,0.09525556165114532,-0.13047298834102813,0.1294935546172168,0.4613353746186169
position,-0.8001633786811031,0.34329490072174923,0.4005779146916716,-0.30629509797885945,0.6667718014831409,0.6077209846998534,0.31411064725900045,-0.06069456325887282,-0.3345763500823806,0.12697166171784638,0.4239590646023003
open,-0.7739942987628575,0.24598805780749122,0.3316140551621859,-0.27797335042399784,0.7074101293082622,0.5572846070566627,0.2296220423247262,0.00815189364350654,-0.27001879569137344,0.16515363152569737,0.3846891786642605
clean,-0.8001633786811031,0.34329490072174923,0.4005779146916716,-0.30629509797885945,0.6667718014831409,0.6077209846998534,0.31411064725900045,-0.06069456325887282,-0.3345763500823806,0.12697166171784638,0.4239590646023003
resonate,-0.8001633786811031,0.34329490072174923,0.4005779146916716,-0.30629509797885945,0.6667718014831409,0.6077209846998534,0.31411064725900045,-0.06069456325887282,-0.3345763500823806,0.12697166171784638,0.4239590646023003
unify,-0.7743618946458282,0.25982860011636366,0.3348239472277558,-0.29103784394532806,0.7160425315505096,0.5518912252023442,0.249394464866083,0.011552078312810719,-0.26696426985584937,0.08850382578363049,0.45317048013211714
falsetto,-0.7776471533740302,0.30161197122766387,0.3781547316379337,-0.2933622247652928,0.7021278577504455,0.5625954918323726,0.2547496896312628,-0.03222363373835915,-0.29253704895189964,0.11255011245091952,0.41818352089438454
chest,-0.8001633786811031,0.34329490072174923,0.4005779146916716,-0.30629509797885945,0.6667718014831409,0.6077209846998534,0.31411064725900045,-0.06069456325887282,-0.3345763500823806,0.12697166171784638,0.4239590646023003
nasal,-0.8014169581767673,0.34933559715397544,0.41581815024556246,-0.3142811600693205,0.6732869467638904,0.609221941057452,0.29373200729555726,-0.06890010047673564,-0.3175351597850805,0.14988793787921442,0.41752747607116475
