,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
vibrato,-0.6691670442492758,0.0,0.12775181627971025,0.0,0.5269511149441033,0.40868541359315086,0.022169782142632818,0.0,-0.13860002221426512,0.0,0.112510671242833
throat,-0.3962729334260416,-0.11653693163108886,0.0,-0.019018058040971852,0.85694936994456,0.21517638543767675,0.04210552576512285,0.05731435029789645,-0.2070053063074941,0.1641778013297426,0.07811818932516744
position,-0.6691670442492758,0.0,0.12775181627971025,0.0,0.5269511149441033,0.40868541359315086,0.022169782142632818,0.0,-0.13860002221426512,0.0,0.112510671242833
open,-0.49273305186867833,0.0,0.04787435659494031,0.0,0.7236652102361336,0.47379563907904204,0.01820252545360781,0.0,-0.17904255385086226,0.018687871619252384,0.0283806458728951
clean,-0.6691670442492758,0.0,0.12775181627971025,0.0,0.5269511149441033,0.40868541359315086,0.022169782142632818,0.0,-0.13860002221426512,0.0,0.112510671242833
resonate,-0.6691670442492758,0.0,0.12775181627971025,0.0,0.5269511149441033,0.40868541359315086,0.022169782142632818,0.0,-0.13860002221426512,0.0,0.112510671242833
unify,-0.6264909990513174,0.0,0.013476105009131892,0.0,0.5660814762917161,0.3312663572570536,0.019067758399759046,0.0,-0.1081324243426018,0.0,0.14852526376709774
falsetto,-0.6273439616956483,0.0,0.14387528146867026,0.0,0.6366697253925268,0.3453189612906814,0.0,0.0,-0.16064847352367526,0.0,0.02515462284050407
chest,-0.6691670442492758,0.0,0.12775181627971025,0.0,0.5269511149441033,0.40868541359315086,0.022169782142632818,0.0,-0.13860002221426512,0.0,0.112510671242833
nasal,-0.657997909520518,0.0,0.2008277652974751,0.0,0.5269897290203449,0.42869047845000746,0.0,0.0,-0.09169038141186495,0.0,0.0672287748018837
