fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,53,6,1.0,1.0,0.0
2,53,6,0.5,0.4,1.0
3,53,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
4,53,6,0.6666666666666666,0.8,0.6666666666666666
5,53,6,0.6666666666666666,0.6666666666666667,0.6666666666666666
6,53,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
7,53,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
8,53,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
9,53,6,0.5,0.5714285714285714,1.0
10,54,5,0.6,0.44444444444444453,0.8
