fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,52,6,0.8333333333333334,0.7692307692307692,0.3333333333333333
2,52,6,0.8333333333333334,0.7692307692307692,0.3333333333333333
3,52,6,0.8333333333333334,0.8571428571428572,0.3333333333333333
4,52,6,0.6666666666666666,0.6842105263157894,0.6666666666666666
5,52,6,0.5,0.4,1.0
6,52,6,0.6666666666666666,0.6470588235294117,0.6666666666666666
7,52,6,0.8333333333333334,0.7692307692307692,0.3333333333333333
8,52,6,0.6666666666666666,0.6,0.6666666666666666
9,53,5,1.0,1.0,0.0
10,53,5,0.6,0.44444444444444453,0.8
