fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,52,6,1.0,1.0,0.0
2,52,6,1.0,1.0,0.0
3,52,6,0.8333333333333334,0.8571428571428572,0.3333333333333333
4,52,6,0.6666666666666666,0.75,0.6666666666666666
5,52,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
6,52,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
7,52,6,0.8333333333333334,0.8888888888888888,0.3333333333333333
8,52,6,0.8333333333333334,0.8571428571428572,0.3333333333333333
9,53,5,1.0,1.0,0.0
10,53,5,0.8,0.8,0.4
