audio_filename,vibrato,throat,position,open,clean,resonate,unify,falsetto,chest,nasal,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
#A3-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.279132,-3.835076,21.811493,0.010179,0.004089,0.796518,10.5,0.0177335,-0.00014
#A3-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.3164885,0.452671,23.567263,0.082233995,0.002847,0.148987,11.0,0.0135295,-0.000128
#A3-3-B.wav,5,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.167963,3.320424,24.716747,0.108029,0.004337,0.939716,5.5,0.0160655,-0.000114
#A3-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,0.377033,1.090885,22.987232,0.353505,0.00276,0.151049,15.0,0.0128705,-0.000124
#A3-5-B.wav,5,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0.080808,13.089428,21.335903,0.055835,0.011691,0.975714,4.0,0.022197,-0.000121
#A4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.171116,8.5256405,25.818035,0.038409002,0.002254,0.85220647,7.666667,0.019543,-0.00012
#A4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.231401,0.906492,30.541649,0.067766,0.001127,0.545419,14.333333,0.012959,-0.000114
#A4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.1702615,2.813552,31.574877,0.13306901,0.001978,0.655661,11.0,0.022928,-0.000119
#A4-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,0.25125,-2.7145953,25.654434,0.284074,0.003151,0.305453,22.0,0.015861,-0.000119
#A4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.080244005,0.090399,17.773006,0.32614052,0.007085,0.5091235,14.0,0.029016,-0.000124
#C4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25394,2.1449761,23.248302,0.0042645,0.003933,0.596586,6.5,0.02131,-0.000143
#C4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.313724,1.3011215,23.344757,0.047207,0.003129,0.181387,13.0,0.012646,-0.000127
#C4-3-B.wav,5,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,0.215511,7.29338,26.022324,0.16648,0.003048,0.732583,6.5,0.011406,-0.000118
#C4-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,0.4218675,0.673058,25.477621,0.237689,0.00256,0.1843755,13.0,0.009364,-0.000124
#C4-5-B.wav,5,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.096593,13.581183,20.335287,0.0815775,0.00842,0.9173125,4.666667,0.0173485,-0.000109
#D4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.336987,6.335771,23.68462,0.004602,0.003257,0.780701,7.0,0.025757,-0.000132
#D4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.3383325,-3.799421,27.195276,0.1426745,0.002322,0.119508505,14.416666,0.016033,-0.000115
#D4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.214679,0.677007,25.22066,0.220892,0.002867,0.445813,7.5,0.020658001,-0.000114
#D4-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,0.413036,-6.884398,24.329468,0.223619,0.002659,0.07138,14.5,0.0129395,-0.000118
