audio_filename,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
同音高__#A4-1.wav,0.225715,5.323283,29.047213,0.034349,0.001645,0.73889,11.0,0.0161165,-0.000119
同音高__#A4-3-A.wav,0.260749,5.354126,33.090435,0.139489,0.001486,0.751566,11.0,0.013674,-0.000111
同音高__#A4-3-B.wav,0.199849,4.091675,25.969524,0.021114,0.002317,0.662729,11.0,0.017298,-0.000126
同音高__#A4-5.wav,0.159085,6.5241184,31.680996,0.280453,0.001816,0.778787,11.0,0.019411,-0.000103
同音高__#C5-1.wav,0.237317,3.306726,29.860252,0.109634,0.00151,0.000153,13.0,0.045502998,-0.000121
同音高__#C5-3-A.wav,0.229711,4.182554,29.884274,0.046273,0.001896,0.000388,13.0,0.022037499,-0.00013
同音高__#C5-3-B.wav,0.2463365,8.982138,29.955215,0.070125505,0.001941,0.00035649998,13.0,0.021433,-0.000129
同音高__#C5-5.wav,0.157581,13.187138,29.550564,0.101262,0.001797,0.000377,12.5,0.0311555,-0.000118
同音高__#D5-1.wav,0.243649,8.348571,30.44873,0.199272,0.001312,1.6e-05,14.0,0.028195001,-0.000118
同音高__#D5-3-A.wav,0.232812,7.070012,30.078657,0.068887,0.001359,3.1e-05,14.5,0.0236185,-0.000123
同音高__#D5-3-B.wav,0.231562,11.843939,27.697773,0.089928,0.001924,5.5e-05,14.0,0.023108501,-0.000126
同音高__#D5-5.wav,0.17571,14.282178,29.517866,0.070301,0.001579,5.9e-05,14.5,0.029679,-0.000114
同音高__#G4-1.wav,0.2237785,6.3816824,27.302109,0.040234998,0.002542,0.811437,9.5,0.018951,-0.000129
同音高__#G4-3-A.wav,0.22910401,-2.461314,31.400852,0.14960149,0.002396,0.4427855,12.666667,0.017326,-0.00011
同音高__#G4-3-B.wav,0.247449,2.3978896,27.297688,0.040688,0.002795,0.642937,9.5,0.017747,-0.000124
同音高__#G4-5.wav,0.167769,10.355093,30.298311,0.205085,0.002391,0.90844905,9.5,0.019313,-0.000105
同音高__A3-1.wav,0.256448,-8.141081,23.448412,0.007185,0.003524,0.85450697,10.0,0.020418,-0.000159
同音高__A3-3-A.wav,0.1915685,-1.5278345,23.065384,0.0622495,0.005392,0.96352696,10.0,0.015418,-0.00014
同音高__A3-3-B.wav,0.297437,0.702073,23.449932,0.311472,0.004179,0.304095,10.5,0.013626,-0.000134
