technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
vibrato,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
vibrato,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
vibrato,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
vibrato,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
vibrato,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
vibrato,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
vibrato,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
vibrato,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
vibrato,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
throat,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
throat,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
throat,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
throat,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
throat,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
throat,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
throat,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
throat,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
throat,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
position,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
position,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
position,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
position,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
position,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
position,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
position,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
position,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
position,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
open,CPP,0.45998488132039306,0.0002470071880502657,0.7796699752923947,59,True
open,H1H2,-0.3828713185736012,0.0027632749890807015,-0.7823405040149093,59,True
open,HNR,0.0672884022199699,0.6125983860203774,0.07686595024450649,59,False
open,HighFreqNoiseRatio,0.8928188458537324,2.115745394914224e-21,1.3333889154360024,59,True
open,Jitter,0.008647381031493137,0.9481725588805439,0.06478444773757835,59,False
open,LowFreqEnergyRatio,-0.7045910859818405,4.734012893971505e-10,-1.1534106960323378,59,True
open,QValue,0.829775947195923,4.595189463071275e-16,1.2602154143861157,59,True
open,Shimmer,-0.49733288900121464,6.143173078443396e-05,-0.8329506261579409,59,True
open,SpectralSlope,0.1732949478161658,0.18932464909753818,0.3019978042594912,59,False
clean,CPP,0.38086854444676516,0.002920740660856823,0.5308044073175084,59,True
clean,H1H2,-0.3309153850066944,0.010467442933055647,-0.5868687807739712,59,True
clean,HNR,0.15539903102076488,0.23989104781043763,0.16196502398018425,59,False
clean,HighFreqNoiseRatio,0.7850615213169096,1.8441338265340748e-13,0.8178823020407842,59,True
clean,Jitter,-0.05325745403338283,0.6887072051189065,0.024985055572153664,59,False
clean,LowFreqEnergyRatio,-0.6945821605412172,1.0485087653709892e-09,-0.9037169832429222,59,True
clean,QValue,0.7876255151793095,1.3604380627493204e-13,0.9488354518221646,59,True
clean,Shimmer,-0.49428359710544717,6.924516943626056e-05,-0.661575939743998,59,True
clean,SpectralSlope,0.1917247379232174,0.14575517650691275,0.21828322303720246,59,False
resonate,CPP,0.35039382072080644,0.006514805327635394,0.47122952685273695,59,True
