,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
throat,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
position,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
open,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
clean,0.002920740660856823,0.010467442933055647,0.23989104781043763,1.8441338265340748e-13,0.6887072051189065,1.0485087653709892e-09,1.3604380627493204e-13,6.924516943626056e-05,0.14575517650691275
resonate,0.006514805327635394,0.002844723659399895,0.12709237233117518,2.0766334730750256e-14,0.5078825747858323,1.3366047969583365e-09,1.8835693346249022e-13,0.00015895062229903233,0.07138703954027699
unify,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
falsetto,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
chest,0.0002470071880502657,0.0027632749890807015,0.6125983860203774,2.115745394914224e-21,0.9481725588805439,4.734012893971505e-10,4.595189463071275e-16,6.143173078443396e-05,0.18932464909753818
nasal,0.0061710863433068145,0.0033488791372601272,0.44996308952000774,2.5330166235899115e-16,0.9526342055504664,2.2579732421041264e-09,2.344446051725759e-13,0.0007177497665292534,0.12945632501277404
