,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
throat,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
position,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
open,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
clean,0.38086854444676516,-0.3309153850066944,0.15539903102076488,0.7850615213169096,-0.05325745403338283,-0.6945821605412172,0.7876255151793095,-0.49428359710544717,0.1917247379232174
resonate,0.35039382072080644,-0.381823084640006,0.20089245721326238,0.8027203892876656,-0.08791699501722053,-0.6914438062223913,0.7848818758560373,-0.4722883983533779,0.2364498583954186
unify,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
falsetto,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
chest,0.45998488132039306,-0.3828713185736012,0.0672884022199699,0.8928188458537324,0.008647381031493137,-0.7045910859818405,0.829775947195923,-0.49733288900121464,0.1732949478161658
nasal,0.3525463258115635,-0.3758716970845402,0.10025149367528391,0.8336202076170806,0.007902064553702341,-0.6845282426640943,0.7830134344426588,-0.42813956985541474,0.1996773236528441
