,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
throat,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
position,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
open,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
clean,,,,,,-1.2428113689665732,1.1083751968290372,-0.668807533885452,
resonate,,,1.5443113819928436,1.0156644208356238,,-1.5254907147350438,0.8343365014690022,-1.043387022343475,
unify,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
falsetto,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
chest,,,,3.189693567827675,,-1.0648305741518225,1.6468043894241835,-1.3047997112257015,
nasal,,,,1.2222593796046721,,-1.21277630184207,,-0.5803438058302488,
