,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
throat,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
position,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
open,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
clean,,,,,,0.008373333878372117,0.00916985072948912,0.0320078822893169,
resonate,,,0.033568748409246764,0.04313667924830384,,0.010729610592776474,0.049147659670134645,0.020612979375873187,
unify,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
falsetto,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
chest,,,,0.005991201456209864,,0.04292134051944,0.04943408243200387,0.04558181780930391,
nasal,,,,0.006556857491259294,,0.007001420549095029,,0.034375552087123874,
