,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,2.887378076604161e-14,0.007769993157130007,0.018305813522895318,8.14633315907978e-09,3.319428596481764e-07,0.015402509406687652,0.009596049453410914,0.3379082576072111,0.0008194169765423126
throat,5.733854725758033e-10,0.33933498847021104,0.18212903482372958,4.6150925523343784e-15,0.0006432188142094287,0.5123673451841806,0.32464482708864484,0.3283213496157974,0.00023553047245960095
position,2.887378076604161e-14,0.007769993157130007,0.018305813522895318,8.14633315907978e-09,3.319428596481764e-07,0.015402509406687652,0.009596049453410914,0.3379082576072111,0.0008194169765423126
open,6.547906858166348e-13,0.0603794626646853,0.033033370231056985,3.7616165387893323e-10,4.549768392739862e-06,0.08020768500452607,0.03861495500451903,0.21128807746954764,0.002626929713507292
clean,2.887378076604161e-14,0.007769993157130007,0.018305813522895318,8.14633315907978e-09,3.319428596481764e-07,0.015402509406687652,0.009596049453410914,0.3379082576072111,0.0008194169765423126
resonate,2.887378076604161e-14,0.007769993157130007,0.018305813522895318,8.14633315907978e-09,3.319428596481764e-07,0.015402509406687652,0.009596049453410914,0.3379082576072111,0.0008194169765423126
unify,6.285267496516646e-13,0.04688293252853945,0.02533046925383965,1.8288753220379605e-10,5.87152381658155e-06,0.056797354110544186,0.04095588465735571,0.5050434017371909,0.0003130936529119699
falsetto,4.344515322483055e-13,0.020259585884702367,0.02413259528325798,5.774764996531893e-10,3.5238063623838843e-06,0.05151558708453078,0.024552258662527002,0.3960382703305406,0.000981266809249687
chest,2.887378076604161e-14,0.007769993157130007,0.018305813522895318,8.14633315907978e-09,3.319428596481764e-07,0.015402509406687652,0.009596049453410914,0.3379082576072111,0.0008194169765423126
nasal,2.4580246439785033e-14,0.006689847586582235,0.015343843604502092,5.1395151981228205e-09,3.049151203116386e-07,0.02394650668313459,0.014260422978055748,0.2571753150307072,0.0010013641139312033
