,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,-0.6419864296913147,0.10026813298463821,0.0,0.5761651992797852,0.423289954662323,0.027782609686255455,-0.16644956171512604,0.0,0.11517447233200073
throat,-0.3987618088722229,-0.1992267370223999,-0.03530208766460419,0.8632588982582092,0.20822551846504211,0.0619930773973465,-0.21487201750278473,0.19471949338912964,0.1191488653421402
position,-0.6419864296913147,0.10026813298463821,0.0,0.5761651992797852,0.423289954662323,0.027782609686255455,-0.16644956171512604,0.0,0.11517447233200073
open,-0.4559825658798218,-0.03938842937350273,0.19412116706371307,0.8256857991218567,0.6497509479522705,0.07016304135322571,-0.2752749025821686,0.10615471750497818,0.0017920986283570528
clean,-0.6419864296913147,0.10026813298463821,0.0,0.5761651992797852,0.423289954662323,0.027782609686255455,-0.16644956171512604,0.0,0.11517447233200073
resonate,-0.6419864296913147,0.10026813298463821,0.0,0.5761651992797852,0.423289954662323,0.027782609686255455,-0.16644956171512604,0.0,0.11517447233200073
unify,-0.6259503364562988,0.0,0.0,0.5670679211616516,0.33248594403266907,0.0223870687186718,-0.11126380413770676,0.0,0.1546507328748703
falsetto,-0.6005855798721313,0.1144346222281456,0.0,0.6790751218795776,0.3547531068325043,0.0,-0.1845557540655136,0.0,0.026840001344680786
chest,-0.6419864296913147,0.10026813298463821,0.0,0.5761651992797852,0.423289954662323,0.027782609686255455,-0.16644956171512604,0.0,0.11517447233200073
nasal,-0.6145990490913391,0.1741766333580017,0.0,0.6017249822616577,0.4475191533565521,0.0,-0.13058970868587494,0.0,0.062196411192417145
